#,PLAYER,Team,Positions,Age,Value,Name,original_key,metadata,injury_body_part,depth_chart_order,sportradar_id,team_abbr,oddsjam_id,birth_date,active,stats_id,search_last_name,espn_id,full_name,search_rank,years_exp,player_id,fantasy_data_id,kalshi_id,yahoo_id,practice_participation,injury_start_date,depth_chart_position,injury_notes,status,gsis_id,competitions,age,practice_description,news_updated,hashtag,player_shard,last_name,birth_city,rotoworld_id,weight,team_changed_at,injury_status,sport,fantasy_positions,birth_country,team,opta_id,height,swish_id,college,search_full_name,first_name,high_school,position,pandascore_id,rotowire_id,birth_state,search_first_name,number,id,fullName,experience
21,Trae Young,ATL,PG,27.1,6897.893687563407,Trae Young,1945,{'channel_id': '1113936511901892608'},Knee,4.0,cf418e0c-de9d-438f-a1ac-3be539a56c42,,2A95E890DFCB,1998-09-19,True,,young,,Trae Young,10.0,7.0,1945,20001989.0,4aad249c-e551-45af-b759-d012f1daf436,,,,PG,Sprain,ACT,,[],27.0,,1762041053861.0,#traeyoung-NBA-ATL-11,0,Young,,,164,,Out,nba,['PG'],,ATL,,74,1060978.0,Oklahoma,traeyoung,Trae,Norman North (OK),PG,,4369.0,,trae,11.0,4277905,Trae Young,7.0
22,Devin Booker,PHO,"PG,SG",29.0,6801.96620872974,Devin Booker,1648,{'channel_id': '1113936529517969408'},,1.0,31baa84f-c759-4f92-8e1f-a92305ade3d6,,E43AC7A304CD,1996-10-30,True,,booker,,Devin Booker,13.0,10.0,1648,20001460.0,3f978bca-a08f-4bf0-af43-279bfb8384d9,,,,PG,,ACT,,[],29.0,,1762540207517.0,#devinbooker-NBA-PHX-1,0,Booker,,,206,,,nba,"['PG', 'SG']",,PHX,,77,845564.0,Kentucky,devinbooker,Devin,Moss Point (MS),SG,,3711.0,,devin,1.0,3136193,Devin Booker,10.0
23,Zion Williamson,NO,"SF,PF,C",25.3,6710.122010092568,Zion Williamson,2054,{'channel_id': '1113936512564592640'},Hamstring,1.0,5cc51c05-06f5-4ae4-89a4-1d329fbbcdfb,,E4705EFFF804,2000-07-06,True,,williamson,,Zion Williamson,34.0,6.0,2054,20002271.0,220527f6-f6e9-46b3-92b4-ccd8e37ad577,,,,PF,Strain,ACT,,[],25.0,,1762292415287.0,#zionwilliamson-NBA-NOP-1,7,Williamson,,,284,,Out,nba,"['PF', 'SF']",,NOP,,78,1132025.0,Duke,zionwilliamson,Zion,Spartanburg Day School (SC),PF,,4777.0,,zion,1.0,4395628,Zion Williamson,6.0
24,VJ Edgecombe,PHI,SG,20.3,6622.0276176812495,VJ Edgecombe,4737,{'channel_id': '1243819661791858688'},,1.0,1bd4a869-80a3-47b7-bac9-789bda6e6e92,,,2005-07-30,True,,edgecombe,,VJ Edgecombe,140.0,0.0,4737,20003447.0,21e37a74-41d2-4c09-9f05-9b20a14ba88b,,,,SG,,ACT,,[],20.0,,1762443002879.0,#vjedgecombe-NBA-PHI-77,4,Edgecombe,,,180,,,nba,"['PG', 'SG']",,PHI,,76,,Baylor,vjedgecombe,VJ,Long Island Lutheran (NY),SG,,6550.0,,vj,77.0,5124612,VJ Edgecombe,0.0
25,LaMelo Ball,CHA,"PG,SG",24.2,6537.388811180439,LaMelo Ball,2179,{'channel_id': '1113936500883456000'},Ankle,1.0,be53f27f-c666-4bd2-8fcd-0713f963aa2b,,B1BA8F19A252,2001-08-22,True,,ball,,LaMelo Ball,27.0,5.0,2179,20002528.0,2b9f626b-3bc9-4d66-9ac9-9689f65fc7fc,,,,PG,,ACT,,[],24.0,,1762561253717.0,#lameloball-NBA-CHA-1,1,Ball,,,180,,Out,nba,['PG'],,CHA,,79,1257420.0,,lameloball,LaMelo,SPIRE Academy (OH),PG,,5151.0,,lamelo,1.0,4432816,LaMelo Ball,5.0
26,Dylan Harper,SA,"PG,SG",19.7,6455.944695033611,Dylan Harper,4754,{'channel_id': '1243819687184175104'},Calf,2.0,b16123e8-c885-4276-9994-8d5e390c0f0d,,,2006-03-02,True,,harper,,Dylan Harper,129.0,0.0,4754,20003445.0,fbbc0dd3-d175-4281-b220-f2e4a08be13e,,,,PG,,ACT,,[],19.0,,1762209907883.0,#dylanharper-NBA-SAS-2,8,Harper,,,215,,Out,nba,"['PG', 'SG']",,SAS,,77,,Rutgers,dylanharper,Dylan,Don Bosco Prep (NJ),SG,,6549.0,,dylan,2.0,5037871,Dylan Harper,0.0
27,Ja Morant,MEM,PG,26.2,6377.462848315548,Ja Morant,2040,"{'channel_id': '1113936505623019520', 'injury_override_regular_2023_2': 'Out'}",,1.0,9983bed6-e53c-4c65-a90a-51546a0e3352,,8345BD10177C,1999-08-10,True,,morant,,Ja Morant,30.0,6.0,2040,20002266.0,3956631b-53dc-4cd9-8521-c8a113c806fa,,,,PG,,ACT,,[],26.0,,1762478703073.0,#jamorant-NBA-MEM-12,1,Morant,,,174,,,nba,['PG'],,MEM,,74,1065906.0,Murray State,jamorant,Ja,Crestwood (SC),PG,,4761.0,,ja,12.0,4279888,Ja Morant,6.0
28,Ace Bailey,UTA,"SG,SF",19.2,6301.735326081149,Ace Bailey,4758,{'channel_id': '1243819693458853888'},,2.0,c5fca05e-7292-464b-b9cd-d5d0f5e2fd07,,,2006-08-13,True,,bailey,,Ace Bailey,103.0,0.0,4758,20003446.0,8a27cdd3-a42b-498a-b453-c31c26a77068,,,,SF,,ACT,,[],19.0,,1762433102628.0,#acebailey-NBA-UTA-19,6,Bailey,,,200,,,nba,"['PG', 'SF', 'SG']",,UTA,,81,,Rutgers,acebailey,Ace,McEachern (GA),SF,,6551.0,,ace,19.0,4873138,Ace Bailey,0.0
29,Jalen Brunson,NY,PG,29.2,6228.57533887895,Jalen Brunson,1967,{'channel_id': '1113936487742701568'},,1.0,8d3edba8-9004-4199-9328-cc2208e8b0d3,,21B5AD38CE3D,1996-08-31,True,,brunson,,Jalen Brunson,15.0,7.0,1967,20002032.0,67413379-4f2e-4419-9a34-5518e4dfc22c,,,,PG,,ACT,,[],29.0,,1762443003680.0,#jalenbrunson-NBA-NYK-11,7,Brunson,,,190,,,nba,['PG'],,NYK,,74,887914.0,Villanova,jalenbrunson,Jalen,Adlai E. Stevenson (IL),PG,,4405.0,,jalen,11.0,3934672,Jalen Brunson,7.0
30,Austin Reaves,LAL,"PG,SG,SF",27.4,6157.814476926628,Austin Reaves,2316,{'channel_id': '1113936507619508224'},Groin,1.0,c4981f56-93a2-47b1-8d31-4e8635f45e1d,,498C534FF2EE,1998-05-29,True,,reaves,,Austin Reaves,42.0,4.0,2316,20002720.0,0a8e255c-0588-49fd-9cfe-a4bd26dcf171,,,,SG,,ACT,,[],27.0,,1762555808562.0,#austinreaves-NBA-LAL-15,7,Reaves,,,197,,Out,nba,"['PG', 'SF', 'SG']",,LAL,,77,953291.0,Oklahoma,austinreaves,Austin,Cedar Ridge (AR),SG,,5334.0,,austin,15.0,4066457,Austin Reaves,4.0
31,Donovan Mitchell,CLE,"PG,SG",29.2,6089.300375135607,Donovan Mitchell,1845,{'channel_id': '1113936489470754816'},,1.0,b6dde96e-3748-4cbe-86d2-798d5dffb3c0,,B82A4A0D260A,1996-09-07,True,,mitchell,,Donovan Mitchell,20.0,8.0,1845,20001844.0,6daf79e8-b1ff-4208-83b1-ef4334d6f2c6,,,,SG,,ACT,,[],29.0,,1762412760720.0,#donovanmitchell-NBA-CLE-45,1,Mitchell,,,215,,,nba,"['PG', 'SG']",,CLE,,74,879707.0,Louisville,donovanmitchell,Donovan,Brewster Academy (NH),SG,,4166.0,,donovan,45.0,3908809,Donovan Mitchell,8.0
32,Bam Adebayo,MIA,"PF,C",28.3,6022.89473754749,Bam Adebayo,1846,{'channel_id': '1113936524220563456'},Toe,1.0,11c303dc-540c-4090-8e0c-76c2fb2c125a,,21DD03C2B454,1997-07-18,True,,adebayo,,Bam Adebayo,24.0,8.0,1846,20001836.0,c8ecebb6-6e63-4564-9c1f-4ef048d1bf7e,,,,C,Sprain,ACT,,[],28.0,,1762459205409.0,#bamadebayo-NBA-MIA-13,7,Adebayo,,,255,,Out,nba,"['C', 'PF']",,MIA,,81,957486.0,Kentucky,bamadebayo,Bam,High Point Christian Academy (NC),C,,4153.0,,bam,13.0,4066261,Bam Adebayo,8.0
33,Darius Garland,CLE,PG,25.8,5958.471656773135,Darius Garland,2007,{'channel_id': '1113936489604972544'},,1.0,b79b88e1-35ef-4947-8a61-f6ec631a1e15,,580C5919659E,2000-01-26,True,,garland,,Darius Garland,71.0,6.0,2007,20002270.0,94cad9c3-833e-410a-a028-6cd25fdb20d9,,,,PG,,ACT,,[],25.0,,1762469101810.0,#dariusgarland-NBA-CLE-10,9,Garland,,,192,,,nba,['PG'],,CLE,,73,1134262.0,Vanderbilt,dariusgarland,Darius,Brentwood Academy (TN),PG,,4749.0,,darius,10.0,4396907,Darius Garland,6.0
34,Jaren Jackson Jr.,MEM,"PF,C",26.1,5895.91617710193,Jaren Jackson,1924,"{'channel_id': '1113936504809324544', 'injury_override_regular_2020_5': 'Out'}",,1.0,3e492a6a-ed3c-499d-b3f5-ff68ca16f6fd,,3806ED3C1BC0,1999-09-15,True,,jackson,,Jaren Jackson,36.0,7.0,1924,20001991.0,fb5e5473-1360-41fc-9961-23c16bfa4a2d,,,,PF,,ACT,,[],26.0,,1762247111244.0,#jarenjackson-NBA-MEM-8,2,Jackson,,,242,,,nba,"['C', 'PF']",,MEM,,82,1078662.0,Michigan State,jarenjackson,Jaren,Park Tudor (IN),C,,4384.0,,jaren,8.0,4277961,Jaren Jackson Jr.,7.0
35,Alexandre Sarr,WAS,C,20.5,5835.123060076651,Alexandre Sarr,2733,{'channel_id': '1113936497427349504'},,1.0,fe4c4f99-5dfb-4e32-b69a-da8c5a779c27,,,2005-04-26,True,,sarr,,Alex Sarr,85.0,1.0,2733,20003215.0,95ce1408-68a5-4025-975c-ac02d98e6830,,,,C,,ACT,,[],20.0,,1762422001648.0,#alexsarr-NBA-WAS-20,7,Sarr,,,205,,,nba,['C'],,WAS,,84,,,alexsarr,Alex,,C,,6240.0,,alex,20.0,5160992,Alex Sarr,1.0
36,Deni Avdija,POR,"SF,PF",24.8,5775.995719235974,Deni Avdija,2181,{'channel_id': '1113936533309620224'},,1.0,312f21c9-a061-43e2-9a22-65199131068e,,A516E172A7D9,2001-01-03,True,,avdija,,Deni Avdija,57.0,5.0,2181,20002534.0,0a9e0587-c565-41cc-93bd-74e1d1b1d375,,,,PF,,ACT,,[],24.0,,1762447804652.0,#deniavdija-NBA-POR-8,1,Avdija,,,228,,,nba,"['PF', 'SF']",,POR,,80,1257422.0,,deniavdija,Deni,,PF,,5152.0,,deni,8.0,4683021,Deni Avdija,5.0
37,Brandon Miller,CHA,"SF,PF",23.0,5718.445296945552,Brandon Miller,2568,{'channel_id': '1113936499981680640'},Shoulder,8.0,775e4450-cdcd-43a1-b4cd-dc29fba48503,,94623DDFFBAB,2002-11-22,True,,miller,,Brandon Miller,66.0,2.0,2568,20003032.0,2a87f5ef-36b3-4f5e-8565-ea9f6c6820a2,,,,SF,Dislocated,ACT,,[],22.0,,1762210808509.0,#brandonmiller-NBA-CHA-24,2,Miller,,,200,,Out,nba,"['PF', 'SF']",,CHA,,79,1401381.0,Alabama,brandonmiller,Brandon,Cane Ridge (TN),SF,,5896.0,,brandon,24.0,4433287,Brandon Miller,2.0
38,Ausar Thompson,DET,"SG,SF,PF",22.8,5662.389861164522,Ausar Thompson,2566,{'channel_id': '1113936497645453312'},,1.0,18c14a3d-2ce0-451c-bceb-b0ce13c16ead,,547F0B60B699,2003-01-30,True,,thompson,,Ausar Thompson,87.0,2.0,2566,20003036.0,54277f13-99a5-4ee0-934a-2051f41ef6bc,,,,SF,,ACT,,[],22.0,,1762397758631.0,#ausarthompson-NBA-DET-9,6,Thompson,,,205,,,nba,"['SF', 'SG']",,DET,,79,1429338.0,,ausarthompson,Ausar,Pine Crest (FL),SG,,5932.0,,ausar,9.0,4684742,Ausar Thompson,2.0
39,Dyson Daniels,ATL,"PG,SG,SF",22.6,5607.753703921989,Dyson Daniels,2449,{'channel_id': '1113936510521966592'},,1.0,358fb074-ac1b-45a6-bf54-46c30534786e,,DE0B19290551,2003-03-17,True,,daniels,,Dyson Daniels,47.0,3.0,2449,20002878.0,f61bdc80-8315-4d93-a488-71dc37ee3e8f,,,,SG,,ACT,,[],22.0,,1762369521693.0,#dysondaniels-NBA-ATL-5,5,Daniels,,,199,,,nba,"['PG', 'SG']",,ATL,,79,1357745.0,,dysondaniels,Dyson,,PG,,5385.0,,dyson,5.0,,,
40,Jalen Duren,DET,C,22.0,5554.46672642956,Jalen Duren,2438,{'channel_id': '1113936497540595712'},,1.0,00fb2704-aa25-4ef7-8972-cde454810810,,8DC7D01E2795,2003-11-18,True,,duren,,Jalen Duren,61.0,3.0,2438,20002875.0,d3705d84-27ff-4482-ab98-bba306710adc,,,,C,,ACT,,[],21.0,,1762397458602.0,#jalenduren-NBA-DET-0,4,Duren,,,250,,,nba,['C'],,DET,,82,1344765.0,Memphis,jalenduren,Jalen,Montverde Academy (FL),C,,5703.0,,jalen,0.0,4433621,Jalen Duren,3.0
41,Stephon Castle,SA,"PG,SG",21.0,5502.46389829963,Stephon Castle,2722,{'channel_id': '1113936517165744128'},,1.0,ddee4a31-2791-4339-bfc3-a058ce2d1397,,69245BA7CCBE,2004-11-01,True,,castle,,Stephon Castle,115.0,1.0,2722,20003192.0,3737a938-d72f-41bc-8098-e50c9334a4b5,,,,SG,,ACT,,[],21.0,,1762446303379.0,#stephoncastle-NBA-SAS-5,7,Castle,,,215,,,nba,"['PG', 'SG']",,SAS,,78,1461118.0,UConn,stephoncastle,Stephon,Newton (GA),SG,,6250.0,,stephon,5.0,4845367,Stephon Castle,1.0
