Rank,Name,Age,Team,Positions,Value,cleaned_name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,years_exp,depth_chart_order,height,weight,college,team,both
20.0,Jaren Jackson Jr.,25.2,MEM,"PF,C",7103.574288894868,Jaren Jackson,1924,nba,13.0,True,PF,25.0,1999-09-15,ACT,6.0,1.0,82.0,242.0,Michigan State,MEM,True
21.0,Anthony Davis,31.7,LAL,"PF,C",6998.284483272509,Anthony Davis,1272,nba,3.0,True,C,31.0,1993-03-11,ACT,12.0,1.0,82.0,268.0,Kentucky,LAL,True
22.0,Paolo Banchero,22.0,ORL,"SF,PF",6897.893687563407,Paolo Banchero,2458,nba,5.0,True,C,22.0,2002-11-12,ACT,2.0,5.0,82.0,250.0,Duke,ORL,True
23.0,Jalen Johnson,22.9,ATL,PF,6801.96620872974,Jalen Johnson,2284,nba,1.0,True,PF,22.0,2001-12-18,ACT,3.0,1.0,80.0,219.0,Duke,ATL,True
24.0,Karl-Anthony Towns,29.0,NY,"PF,C",6710.122010092568,Karl-Anthony Towns,1613,nba,32.0,True,C,29.0,1995-11-15,ACT,9.0,1.0,84.0,248.0,Kentucky,NYK,True
25.0,Joel Embiid,30.7,PHI,C,6622.0276176812495,Joel Embiid,1511,nba,21.0,True,C,30.0,1994-03-16,ACT,8.0,1.0,84.0,280.0,Kansas,PHI,True
26.0,Domantas Sabonis,28.6,SAC,C,6537.388811180439,Domantas Sabonis,1739,nba,11.0,True,C,28.0,1996-05-03,ACT,8.0,1.0,83.0,240.0,Gonzaga,SAC,True
27.0,De'Aaron Fox,26.9,SAC,PG,6455.944695033611,De'Aaron Fox,1872,nba,5.0,True,PG,26.0,1997-12-20,ACT,7.0,1.0,75.0,190.0,Kentucky,SAC,True
28.0,Darius Garland,24.8,CLE,PG,6377.462848315548,Darius Garland,2007,nba,10.0,True,PG,24.0,2000-01-26,ACT,5.0,1.0,73.0,192.0,Vanderbilt,CLE,True
29.0,Bam Adebayo,27.4,MIA,C,6301.735326081149,Bam Adebayo,1846,nba,13.0,True,C,27.0,1997-07-18,ACT,7.0,1.0,81.0,255.0,Kentucky,MIA,True
30.0,Franz Wagner,23.3,ORL,"SF,PF",6228.57533887895,Franz Wagner,2304,nba,22.0,True,SF,23.0,2001-08-27,ACT,3.0,1.0,82.0,220.0,Michigan,ORL,True
31.0,Lauri Markkanen,27.5,UTA,"SF,PF",6157.814476926628,Lauri Markkanen,1752,nba,23.0,True,SF,27.0,1997-05-22,ACT,7.0,1.0,84.0,240.0,Arizona,UTA,True
32.0,Ja Morant,25.3,MEM,PG,6089.300375135607,Ja Morant,2040,nba,12.0,True,PG,25.0,1999-08-10,ACT,5.0,1.0,74.0,174.0,Murray State,MEM,True
33.0,Jalen Brunson,28.2,NY,PG,6022.89473754749,Jalen Brunson,1967,nba,11.0,True,PG,28.0,1996-08-31,ACT,6.0,1.0,74.0,206.0,Villanova,NYK,True
34.0,Jamal Murray,27.8,DEN,"PG,SG",5958.471656773135,Jamal Murray,1747,nba,27.0,True,PG,27.0,1997-02-23,ACT,7.0,1.0,76.0,215.0,Kentucky,DEN,True
35.0,Desmond Bane,26.4,MEM,"SG,SF",5895.91617710193,Desmond Bane,2143,nba,22.0,True,SG,26.0,1998-06-25,ACT,4.0,1.0,77.0,215.0,TCU,MEM,True
36.0,Zion Williamson,24.4,NO,"PF,C",5835.123060076651,Zion Williamson,2054,nba,1.0,True,C,24.0,2000-07-06,ACT,4.0,7.0,78.0,284.0,Duke,NOP,True
37.0,Stephen Curry,36.7,GS,"PG,SG",5775.995719235974,Stephen Curry,1085,nba,30.0,True,PG,36.0,1988-03-14,ACT,15.0,1.0,75.0,200.0,Davidson,GSW,True
38.0,Kyrie Irving,32.7,DAL,"PG,SG",5718.445296945552,Kyrie Irving,1054,nba,11.0,True,SG,32.0,1992-03-23,ACT,13.0,1.0,74.0,191.0,Duke,DAL,True
39.0,Jaylen Brown,28.1,BOS,"SG,SF",5662.389861164522,Jaylen Brown,1711,nba,7.0,True,SF,28.0,1996-10-24,ACT,8.0,1.0,78.0,237.0,California,BOS,True
40.0,Brandon Miller,22.0,CHA,"SG,SF",5607.753703921989,Brandon Miller,2568,nba,24.0,True,SG,22.0,2002-11-22,ACT,1.0,1.0,79.0,200.0,Alabama,CHA,True
41.0,Dejounte Murray,28.2,NO,"PG,SG",5554.46672642956,Dejounte Murray,1713,nba,5.0,True,PG,28.0,1996-09-19,ACT,7.0,1.0,77.0,180.0,Washington,NOP,True
42.0,James Harden,35.3,LAC,"PG,SG",5502.46389829963,James Harden,1240,nba,1.0,True,PG,35.0,1989-08-26,ACT,15.0,1.0,77.0,220.0,Arizona State,LAC,True
43.0,Myles Turner,28.7,IND,C,5451.684780403795,Myles Turner,1595,nba,33.0,True,C,28.0,1996-03-24,ACT,9.0,1.0,83.0,250.0,Texas,IND,True
44.0,Damian Lillard,34.4,MIL,PG,5402.07310259053,Damian Lillard,1444,nba,0.0,True,PG,34.0,1990-07-15,ACT,12.0,1.0,74.0,195.0,Weber State,MIL,True
45.0,Immanuel Quickley,25.4,TOR,"PG,SG",5353.576388863032,Immanuel Quickley,2157,nba,5.0,True,PG,25.0,1999-06-17,ACT,4.0,6.0,74.0,190.0,Kentucky,TOR,True
46.0,Jordan Poole,25.4,WAS,"PG,SG",5306.145623756862,Jordan Poole,2012,nba,13.0,True,PG,25.0,1999-06-19,ACT,5.0,1.0,76.0,194.0,Michigan,WAS,True
47.0,Devin Vassell,24.3,SA,"SG,SF",5259.734954599728,Devin Vassell,2146,nba,24.0,True,SG,24.0,2000-08-23,ACT,4.0,1.0,77.0,205.0,Florida State,SAS,True
48.0,Amen Thompson,21.8,HOU,"SG,SF",5214.301425119689,Amen Thompson,2574,nba,1.0,True,SF,21.0,2003-01-30,ACT,1.0,2.0,79.0,215.0,,HOU,True
49.0,Nic Claxton,25.6,BKN,C,5169.80473652261,Nic Claxton,2032,nba,33.0,True,C,25.0,1999-04-17,ACT,5.0,1.0,83.0,215.0,Georgia,BKN,True
50.0,Paul George,34.6,PHI,"SG,SF,PF",5126.207032708371,Paul George,1074,nba,8.0,True,SF,34.0,1990-05-02,ACT,14.0,1.0,80.0,220.0,Fresno State,PHI,True
51.0,Tyler Herro,24.9,MIA,"PG,SG",5083.472706757217,Tyler Herro,2086,nba,14.0,True,PG,24.0,2000-01-20,ACT,5.0,1.0,77.0,195.0,Kentucky,MIA,True
52.0,Fred VanVleet,30.8,HOU,PG,5041.568226207561,Fred VanVleet,1717,nba,5.0,True,PG,30.0,1994-02-25,ACT,8.0,1.0,72.0,193.0,Wichita State,HOU,True
53.0,Pascal Siakam,30.7,IND,"SF,PF",5000.461974977159,Pascal Siakam,1716,nba,43.0,True,PF,30.0,1994-04-02,ACT,8.0,1.0,82.0,230.0,New Mexico State,IND,True
54.0,Kevin Durant,36.2,PHO,"SF,PF",4960.124110060733,Kevin Durant,1433,nba,35.0,True,PF,36.0,1988-09-29,ACT,16.0,1.0,82.0,240.0,Texas,PHX,True
55.0,Jarrett Allen,26.6,CLE,C,4920.526431376909,Jarrett Allen,1787,nba,31.0,True,C,26.0,1998-04-21,ACT,7.0,1.0,81.0,243.0,Texas,CLE,True
56.0,Mikal Bridges,28.2,NY,"SG,SF,PF",4881.642263342668,Mikal Bridges,1975,nba,25.0,True,SG,28.0,1996-08-30,ACT,6.0,1.0,78.0,209.0,Villanova,NYK,True
57.0,Anfernee Simons,25.5,POR,"PG,SG",4843.446346929635,Anfernee Simons,1983,nba,1.0,True,PG,25.0,1999-06-08,ACT,6.0,1.0,75.0,193.0,,POR,True
58.0,Jalen Duren,21.0,DET,C,4805.91474110827,Jalen Duren,2438,nba,0.0,True,C,21.0,2003-11-18,ACT,2.0,1.0,82.0,250.0,Memphis,DET,True
59.0,Deandre Ayton,26.3,POR,C,4769.024732716933,Deandre Ayton,1974,nba,2.0,True,C,26.0,1998-07-23,ACT,6.0,1.0,84.0,247.0,Arizona,POR,True
60.0,Josh Giddey,22.1,CHI,"PG,SG,SF",4732.754753906072,Josh Giddey,2313,nba,3.0,True,PG,22.0,2002-10-10,ACT,3.0,1.0,80.0,216.0,,CHI,True
61.0,Kristaps Porzingis,29.3,BOS,"PF,C",4697.084306406192,Kristaps Porzingis,1590,nba,8.0,True,C,29.0,1995-08-02,ACT,8.0,1.0,87.0,240.0,,BOS,True
62.0,Brandon Ingram,27.2,NO,"SG,SF,PF",4661.993891953749,Brandon Ingram,1698,nba,14.0,True,SF,27.0,1997-09-02,ACT,8.0,1.0,80.0,190.0,Duke,NOP,True
63.0,OG Anunoby,27.4,NY,"SF,PF",4627.464948283712,OG Anunoby,1831,nba,8.0,True,PF,27.0,1997-07-17,ACT,7.0,1.0,79.0,243.0,Indiana,NYK,True
64.0,Walker Kessler,23.3,UTA,C,4593.47979016273,Walker Kessler,2441,nba,24.0,True,C,23.0,2001-07-26,ACT,2.0,1.0,84.0,245.0,Auburn,UTA,True
65.0,Dyson Daniels,21.7,ATL,"PG,SG",4560.021554993942,Dyson Daniels,2449,nba,5.0,True,SG,21.0,2003-03-17,ACT,2.0,1.0,79.0,199.0,,ATL,True
66.0,Alex Sarr,19.6,WAS,"PF,C",4527.0741525746125,Alex Sarr,2733,nba,20.0,True,C,19.0,2005-04-26,ACT,0.0,1.0,84.0,224.0,,WAS,True
67.0,Ausar Thompson,21.8,DET,"SF,PF",4494.622218631801,Ausar Thompson,2566,nba,9.0,True,SF,21.0,2003-01-30,ACT,1.0,2.0,78.0,205.0,,DET,True
68.0,Jalen Suggs,23.5,ORL,"PG,SG",4462.651071800256,Jalen Suggs,2305,nba,4.0,True,PG,23.0,2001-06-03,ACT,3.0,1.0,77.0,205.0,Gonzaga,ORL,True
69.0,Bilal Coulibaly,20.3,WAS,"SG,SF",4431.146673740945,Bilal Coulibaly,2565,nba,0.0,True,SF,20.0,2004-07-26,ACT,1.0,1.0,80.0,195.0,,WAS,True
70.0,Coby White,24.8,CHI,"PG,SG",4400.09559212905,Coby White,1998,nba,0.0,True,SG,24.0,2000-02-16,ACT,5.0,1.0,77.0,195.0,North Carolina,CHI,True
71.0,Jonathan Kuminga,22.1,GS,"SF,PF",4369.484966267231,Jonathan Kuminga,2306,nba,0.0,True,PF,22.0,2002-10-06,ACT,3.0,2.0,79.0,225.0,,GSW,True
72.0,Trey Murphy III,24.4,NO,"SF,PF",4339.302475103772,Trey Murphy,2285,nba,25.0,True,PF,24.0,2000-06-18,ACT,3.0,1.0,80.0,206.0,Virginia,NOP,True
73.0,Dereck Lively II,20.8,DAL,C,4309.536307456603,Dereck Lively,2584,nba,2.0,True,C,20.0,2004-02-12,ACT,1.0,1.0,85.0,234.0,Duke,DAL,True
74.0,Rudy Gobert,32.4,MIN,C,4280.175134263094,Rudy Gobert,1350,nba,27.0,True,C,32.0,1992-06-26,ACT,11.0,1.0,85.0,250.0,,MIN,True
75.0,Onyeka Okongwu,24.0,ATL,"PF,C",4251.208082692454,Onyeka Okongwu,2136,nba,17.0,True,C,23.0,2000-12-11,ACT,4.0,2.0,82.0,240.0,USC,ATL,True
76.0,Donovan Clingan,20.8,POR,C,4222.624711972674,Donovan Clingan,2728,nba,23.0,True,C,20.0,2004-02-23,ACT,0.0,2.0,86.0,280.0,UConn,POR,True
77.0,Mark Williams,22.9,CHA,C,4194.41499079759,Mark Williams,2440,nba,5.0,True,C,22.0,2001-12-16,ACT,2.0,2.0,84.0,240.0,Duke,CHA,True
78.0,Scoot Henderson,20.8,POR,PG,4166.569276191643,Scoot Henderson,2620,nba,0.0,True,PG,20.0,2004-02-03,ACT,1.0,2.0,75.0,202.0,,POR,True
79.0,Jalen Green,22.8,HOU,"PG,SG",4139.078293720957,Jalen Green,2309,nba,4.0,True,SG,22.0,2002-02-09,ACT,3.0,1.0,78.0,183.0,,HOU,True
80.0,Keyonte George,21.1,UTA,"PG,SG",4111.933118949111,Keyonte George,2580,nba,3.0,True,PG,21.0,2003-11-08,ACT,1.0,1.0,76.0,185.0,Baylor,UTA,True
81.0,Tari Eason,23.6,HOU,"SF,PF",4085.125160044814,Tari Eason,2447,nba,17.0,True,PF,23.0,2001-05-10,ACT,2.0,2.0,80.0,217.0,LSU,HOU,True
82.0,Keegan Murray,24.3,SAC,"SF,PF",4058.646141456682,Keegan Murray,2456,nba,13.0,True,PF,24.0,2000-08-19,ACT,2.0,1.0,80.0,215.0,Iowa,SAC,True
83.0,Austin Reaves,26.5,LAL,"PG,SG",4032.488088577477,Austin Reaves,2316,nba,15.0,True,PG,26.0,1998-05-29,ACT,3.0,1.0,77.0,210.0,Oklahoma,LAL,True
84.0,Shaedon Sharpe,21.5,POR,"SG,SF",4006.643313326753,Shaedon Sharpe,2476,nba,17.0,True,SG,21.0,2003-05-30,ACT,2.0,1.0,77.0,205.0,Kentucky,POR,True
85.0,Reed Sheppard,20.4,HOU,SG,3981.104400586637,Reed Sheppard,2719,nba,15.0,True,PG,20.0,2004-06-24,ACT,0.0,2.0,75.0,182.0,Kentucky,HOU,True
86.0,Derrick White,30.4,BOS,"PG,SG",3955.864195430917,Derrick White,1830,nba,9.0,True,SG,30.0,1994-07-02,ACT,7.0,1.0,76.0,200.0,Colorado,BOS,True
87.0,Miles Bridges,26.7,CHA,"SF,PF",3930.915791092353,Miles Bridges,1913,nba,0.0,True,PF,26.0,1998-03-21,ACT,5.0,1.0,79.0,225.0,Michigan State,CHA,True
88.0,LeBron James,39.9,LAL,"SF,PF",3906.2525176176496,LeBron James,1362,nba,23.0,True,PF,39.0,1984-12-30,ACT,21.0,1.0,81.0,250.0,,LAL,True
89.0,RJ Barrett,24.5,TOR,"SF,PF",3881.8679311634182,RJ Barrett,2001,nba,9.0,True,SF,24.0,2000-06-14,ACT,5.0,1.0,78.0,214.0,Duke,TOR,True
90.0,Jimmy Butler,35.2,MIA,"SF,PF",3857.7558038901534,Jimmy Butler,1000,nba,22.0,True,SF,35.0,1989-09-14,ACT,13.0,1.0,79.0,230.0,Marquette,MIA,True
91.0,Ivica Zubac,27.7,LAC,C,3833.910114414624,Ivica Zubac,1697,nba,40.0,True,C,27.0,1997-03-18,ACT,8.0,1.0,84.0,240.0,,LAC,True
92.0,Kawhi Leonard,33.4,LAC,"SG,SF,PF",3810.325038783984,Kawhi Leonard,1308,nba,2.0,True,C,33.0,1991-06-29,ACT,12.0,6.0,79.0,225.0,San Diego State,LAC,True
93.0,Jeremy Sochan,21.5,SA,"SF,PF",3786.994941937832,Jeremy Sochan,2451,nba,10.0,True,C,21.0,2003-05-20,ACT,2.0,5.0,80.0,230.0,Baylor,SAS,True
94.0,Zaccharie Risacher,19.6,ATL,SF,3763.914369626849,Zaccharie Risacher,2737,nba,10.0,True,SF,19.0,2005-04-08,ACT,0.0,1.0,81.0,215.0,,ATL,True
95.0,Jabari Smith Jr.,21.5,HOU,"PF,C",3741.078040759056,Jabari Smith,2445,nba,10.0,True,PF,21.0,2003-05-13,ACT,2.0,1.0,83.0,213.0,Auburn,HOU,True
96.0,Naz Reid,25.3,MIN,"PF,C",3718.4808401468126,Naz Reid,2036,nba,11.0,True,C,25.0,1999-08-26,ACT,5.0,2.0,81.0,241.0,LSU,MIN,True
97.0,Zach LaVine,29.7,CHI,"SG,SF",3696.117811629638,Zach LaVine,1526,nba,8.0,True,SF,29.0,1995-03-10,ACT,10.0,1.0,77.0,200.0,UCLA,CHI,True
98.0,Bennedict Mathurin,22.4,IND,"SG,SF",3673.98415154973,Bennedict Mathurin,2435,nba,0.0,True,SF,22.0,2002-06-19,ACT,2.0,1.0,78.0,195.0,Arizona,IND,True
99.0,Cam Thomas,23.1,BKN,"SG,SF",3652.0752025586935,Cam Thomas,2278,nba,24.0,True,SG,23.0,2001-10-13,ACT,3.0,1.0,75.0,210.0,LSU,BKN,True
100.0,Christian Braun,23.6,DEN,"SG,SF",3630.386447735491,Christian Braun,2457,nba,0.0,True,SG,23.0,2001-04-17,ACT,2.0,1.0,78.0,220.0,Kansas,DEN,True
101.0,Julius Randle,30.0,MIN,PF,3608.9135049970737,Julius Randle,1535,nba,30.0,True,PF,30.0,1994-11-29,ACT,10.0,1.0,81.0,255.0,Kentucky,MIN,True
102.0,Jrue Holiday,34.5,BOS,"PG,SG",3587.65212178434,Jrue Holiday,1265,nba,4.0,True,PG,34.0,1990-06-12,ACT,15.0,1.0,77.0,223.0,UCLA,BOS,True
103.0,Zach Edey,22.5,MEM,C,3566.598170007337,Zach Edey,2718,nba,14.0,True,C,22.0,2002-03-14,ACT,0.0,2.0,88.0,299.0,Purdue,MEM,True
104.0,Stephon Castle,20.1,SA,"PG,SG",3545.7476412346823,Stephon Castle,2722,nba,5.0,True,SG,20.0,2004-11-01,ACT,0.0,2.0,77.0,210.0,UConn,SAS,True
105.0,Jared McCain,20.8,PHI,"PG,SG",3525.0966421131343,Jared McCain,2713,nba,20.0,True,SG,20.0,2004-02-20,ACT,0.0,1.0,74.0,203.0,Duke,PHI,True
106.0,Kyshawn George,21.0,WAS,"SG,SF",3504.6413900042808,Kyshawn George,2714,nba,18.0,True,PF,20.0,2003-12-12,ACT,0.0,2.0,79.0,209.0,Miami (FL),WAS,True
107.0,DeMar DeRozan,35.3,SAC,"SF,PF",3484.3782088260887,DeMar DeRozan,1321,nba,10.0,True,SF,35.0,1989-08-07,ACT,15.0,1.0,78.0,220.0,USC,SAC,True
108.0,Kyle Kuzma,29.3,WAS,PF,3464.3035250878547,Kyle Kuzma,1799,nba,33.0,True,PF,29.0,1995-07-24,ACT,7.0,1.0,81.0,221.0,Utah,WAS,True
109.0,Taylor Hendricks,21.0,UTA,"SF,PF",3444.413864107912,Taylor Hendricks,2582,nba,0.0,True,PF,21.0,2003-11-22,ACT,1.0,7.0,81.0,215.0,UCF,UTA,True
110.0,Brandin Podziemski,21.8,GS,SG,3424.705846404031,Brandin Podziemski,2564,nba,2.0,True,PG,21.0,2003-02-25,ACT,1.0,2.0,76.0,205.0,Santa Clara,GSW,True
111.0,Collin Sexton,25.9,UTA,"PG,SG",3405.1761842471788,Collin Sexton,1892,nba,2.0,True,SG,25.0,1999-01-04,ACT,6.0,1.0,75.0,190.0,Alabama,UTA,True
112.0,Dalton Knecht,23.6,LAL,SG,3385.821678369792,Dalton Knecht,2709,nba,4.0,True,SG,23.0,2001-04-19,ACT,0.0,1.0,78.0,215.0,Tennessee,LAL,True
113.0,Ron Holland II,19.4,DET,SF,3366.639214820394,Ron Holland,2836,nba,0.0,True,SF,19.0,2005-07-07,ACT,0.0,3.0,80.0,206.0,,DET,True
114.0,Herbert Jones,26.1,NO,"SF,PF",3347.625761956755,Herbert Jones,2286,nba,2.0,True,C,26.0,1998-10-06,ACT,3.0,6.0,79.0,206.0,Alabama,NOP,True
115.0,Deni Avdija,23.9,POR,"SF,PF",3328.778367570365,Deni Avdija,2181,nba,8.0,True,SF,23.0,2001-01-03,ACT,4.0,2.0,81.0,210.0,,POR,True
116.0,Carlton Carrington,19.4,WAS,"PG,SG",3310.094156135392,Carlton Carrington,2715,nba,8.0,True,PG,19.0,2005-07-21,ACT,0.0,2.0,76.0,195.0,Pittsburgh,WAS,True
117.0,Rob Dillingham,19.9,MIN,PG,3291.5703261757244,Rob Dillingham,2717,nba,4.0,True,PG,19.0,2005-01-04,ACT,0.0,2.0,74.0,163.0,Kentucky,MIN,True
118.0,Nikola Topic,19.3,OKC,PG,3273.2041477440544,Nikola Topic,2734,nba,44.0,True,PG,19.0,2005-08-10,ACT,0.0,6.0,78.0,201.0,,OKC,True
119.0,Bradley Beal,31.4,PHO,"PG,SG,SF",3254.9929600073174,Bradley Beal,1128,nba,3.0,True,SF,31.0,1993-06-28,ACT,12.0,1.0,75.0,207.0,Florida,PHX,True
120.0,Michael Porter Jr.,26.4,DEN,"SF,PF",3236.9341689331923,Michael Porter,1988,nba,1.0,True,SF,26.0,1998-06-29,ACT,5.0,1.0,82.0,218.0,Missouri,DEN,True
121.0,Isaiah Hartenstein,26.6,OKC,C,3219.025245072571,Isaiah Hartenstein,1934,nba,55.0,True,C,26.0,1998-05-05,ACT,6.0,1.0,84.0,250.0,,OKC,True
122.0,Jakob Poeltl,29.1,TOR,C,3201.263721433313,Jakob Poeltl,1718,nba,19.0,True,C,29.0,1995-10-15,ACT,8.0,1.0,84.0,260.0,Utah,TOR,True
123.0,D'Angelo Russell,28.8,LAL,PG,3183.647191440765,D'Angelo Russell,1621,nba,1.0,True,PG,28.0,1996-02-23,ACT,9.0,2.0,75.0,200.0,Ohio State,LAL,True
124.0,Jaden Ivey,22.8,DET,"PG,SG",3166.1733069808706,Jaden Ivey,2439,nba,23.0,True,SG,22.0,2002-02-13,ACT,2.0,1.0,76.0,195.0,Purdue,DET,True
125.0,Donte DiVincenzo,27.8,MIN,"SG,SF",3148.8397765218724,Donte DiVincenzo,1964,nba,0.0,True,SG,27.0,1997-01-31,ACT,6.0,2.0,76.0,200.0,Villanova,MIN,True
126.0,Cameron Johnson,28.7,BKN,"SF,PF",3131.644363310834,Cameron Johnson,2091,nba,2.0,True,SF,28.0,1996-03-03,ACT,5.0,1.0,80.0,210.0,North Carolina,BKN,True
127.0,Trayce Jackson-Davis,24.8,GS,"PF,C",3114.5848836414607,Trayce Jackson-Davis,2597,nba,32.0,True,C,24.0,2000-02-22,ACT,1.0,1.0,81.0,248.0,Indiana,GSW,True
128.0,Cam Whitmore,20.4,HOU,"SF,PF",3097.6592051898515,Cam Whitmore,2573,nba,7.0,True,PF,20.0,2004-07-08,ACT,1.0,3.0,79.0,235.0,Villanova,HOU,True
129.0,CJ McCollum,33.2,NO,"PG,SG",3080.865245415,CJ McCollum,1450,nba,3.0,True,SG,33.0,1991-09-19,ACT,11.0,1.0,75.0,190.0,Lehigh,NOP,True
130.0,Jaime Jaquez Jr.,23.8,MIA,SF,3064.200970021064,Jaime Jaquez,2583,nba,11.0,True,PF,23.0,2001-02-18,ACT,1.0,2.0,78.0,225.0,UCLA,MIA,True
131.0,Cason Wallace,21.1,OKC,"PG,SG",3047.6643914785527,Cason Wallace,2586,nba,22.0,True,SG,21.0,2003-11-07,ACT,1.0,2.0,75.0,195.0,Kentucky,OKC,True
132.0,Nikola Vucevic,34.1,CHI,"PF,C",3031.253567601734,Nikola Vucevic,1486,nba,9.0,True,C,34.0,1990-10-24,ACT,13.0,1.0,82.0,260.0,USC,CHI,True
133.0,Josh Hart,29.7,NY,"SF,PF",3014.966600179736,Josh Hart,1803,nba,3.0,True,SF,29.0,1995-03-06,ACT,7.0,1.0,76.0,221.0,Villanova,NYK,True
134.0,Kyle Filipowski,21.1,UTA,"PF,C",2998.8016336589226,Kyle Filipowski,2766,nba,22.0,True,PF,21.0,2003-11-07,ACT,0.0,2.0,83.0,250.0,Duke,UTA,True
135.0,Wendell Carter Jr.,25.6,ORL,C,2982.756853874236,Wendell Carter,1883,nba,34.0,True,C,25.0,1999-04-16,ACT,6.0,1.0,82.0,270.0,Duke,ORL,True
136.0,Daniel Gafford,26.2,DAL,"PF,C",2966.830486827377,Daniel Gafford,1997,nba,21.0,True,C,26.0,1998-10-01,ACT,5.0,2.0,82.0,234.0,Arkansas,DAL,True
137.0,Tobias Harris,32.4,DET,"SF,PF",2951.020797509725,Tobias Harris,1487,nba,12.0,True,PF,32.0,1992-07-15,ACT,13.0,1.0,80.0,226.0,Tennessee,DET,True
138.0,John Collins,27.2,UTA,"PF,C",2935.3260887680644,John Collins,1809,nba,20.0,True,PF,27.0,1997-09-23,ACT,7.0,1.0,81.0,226.0,Wake Forest,UTA,True
139.0,Gradey Dick,21.0,TOR,"SG,SF",2919.744700211273,Gradey Dick,2578,nba,1.0,True,SG,21.0,2003-11-20,ACT,1.0,1.0,78.0,200.0,Kansas,TOR,True
