Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position
Daniel Gafford,1997,nba,21.0,True,C,26.0,1998-10-01,ACT,,5.0,2.0,82,234,Arkansas,DAL,C
Stanley Johnson,1605,nba,,True,,28.0,1996-05-29,FA,,7.0,,78,242,Arizona,,SF
Trentyn Flowers,2838,nba,9.0,True,SF,19.0,2005-03-08,TWO-WAY,,0.0,10.0,81,185,Louisville,LAC,SF
Jordan Hall,2502,nba,,True,,22.0,2002-01-14,FA,,1.0,,79,220,Saint Joseph's,,PG
Jason Collins,1177,nba,,False,,45.0,1978-12-02,RET,,13.0,,83,255,Stanford,,C
Kosta Koufos,1203,nba,,True,,35.0,1989-02-24,FA,,11.0,,84,245,Ohio State,,C
Brandon Slater,2792,nba,,True,,25.0,1999-09-14,FA,,1.0,,80,220,Villanova,,PF
Pelle Larsson,2768,nba,9.0,True,SF,23.0,2001-02-23,ACT,,0.0,2.0,77,212,Arizona,MIA,PG
Eric Moreland,1580,nba,,True,,32.0,1991-12-24,FA,,4.0,,82,238,Oregon State,,C
Willie Green,1334,nba,,False,,43.0,1981-07-28,RET,,12.0,,75,205,Detroit Mercy,,SG
Keldon Johnson,2065,nba,0.0,True,SF,25.0,1999-10-11,ACT,,5.0,2.0,77,215,Kentucky,SAS,SF
Karl-Anthony Towns,1613,nba,32.0,True,C,29.0,1995-11-15,ACT,,9.0,1.0,84,248,Kentucky,NYK,C
Earl Watson,1448,nba,,False,,45.0,1979-06-12,RET,,13.0,,73,199,UCLA,,PG
Ashton Hagans,2168,nba,,True,,25.0,1999-07-08,FA,,2.0,,75,190,Kentucky,,PG
Pierria Henry,2545,nba,,True,,31.0,1993-01-20,FA,,1.0,,77,197,Charlotte,,PG
Markus Howard,2173,nba,,True,,25.0,1999-03-03,FA,,1.0,,70,175,Marquette,,SG
Richard Solomon,1978,nba,,True,,32.0,1992-06-18,FA,,1.0,,83,240,California,,C
Jack McVeigh,2830,nba,58.0,True,SG,28.0,1996-06-27,TWO-WAY,,1.0,8.0,79,205,Nebraska,HOU,PF
Neemias Queta,2302,nba,88.0,True,C,25.0,1999-07-13,ACT,,3.0,3.0,84,260,Utah State,BOS,C
Mo Bamba,1994,nba,4.0,True,C,26.0,1998-05-12,ACT,,6.0,2.0,84,231,Texas,LAC,C
Miles Norris,2643,nba,,True,,24.0,2000-04-15,FA,,1.0,,79,220,UC Santa Barbara,,PF
Tyson Ward,2811,nba,,True,,27.0,1997-07-26,FA,,0.0,,78,190,North Dakota State,,SF
Timmy Allen,2685,nba,,True,,24.0,2000-01-09,FA,,1.0,,78,210,Texas,,SF
Cam Reddish,2049,nba,5.0,True,PF,25.0,1999-09-01,ACT,,5.0,2.0,79,230,Duke,LAL,SF
Shabazz Muhammad,1194,nba,,True,,32.0,1992-11-13,FA,,5.0,,77,225,UCLA,,SG
Paul Reed,2128,nba,7.0,True,C,25.0,1999-06-14,ACT,,4.0,3.0,81,210,DePaul,DET,PF
Markelle Fultz,1772,nba,,True,,26.0,1998-05-29,FA,,6.0,,76,209,Washington,,SG
Derrick Rose,1006,nba,,False,,36.0,1988-10-04,RET,,15.0,,75,200,Memphis,,PG
Nick Smith,2569,nba,8.0,True,SG,20.0,2004-04-18,ACT,,1.0,4.0,74,185,Arkansas,CHA,PG
Willie Cauley-Stein,1655,nba,,True,,31.0,1993-08-18,FA,,7.0,,84,240,Kentucky,,C
Danny Granger,1063,nba,,False,,41.0,1983-04-20,RET,,10.0,,81,222,New Mexico,,SF
Theo Pinson,1916,nba,,True,,29.0,1995-11-05,FA,,4.0,,79,212,North Carolina,,SG
Jalen Williams,2453,nba,8.0,True,PF,23.0,2001-04-14,ACT,,2.0,1.0,77,211,Santa Clara,OKC,PG
Goran Dragic,1422,nba,,False,,38.0,1986-05-06,RET,,15.0,,76,190,,,PG
Steve Novak,1312,nba,,False,,41.0,1983-06-13,RET,,11.0,,82,225,Marquette,,PF
Isaiah Mobley,2460,nba,,True,,25.0,1999-09-24,FA,,2.0,,80,238,USC,,PF
Grant Golden,2536,nba,,True,,26.0,1998-01-15,FA,,1.0,,82,255,Richmond,,PF
Jalen Adaway,2421,nba,,True,,26.0,1998-07-09,FA,,1.0,,77,215,St. Bonaventure,,SG
Daryl Macon,1971,nba,,True,,29.0,1995-11-29,FA,,1.0,,74,185,Arkansas,,PG
Derrick Favors,1358,nba,,True,,33.0,1991-07-15,FA,,12.0,,81,265,Georgia Tech,,C
Obadiah Noel,2646,nba,,True,,25.0,1999-06-28,FA,,1.0,,76,185,UMass Lowell,,SG
Tevian Jones,2679,nba,,True,,24.0,2000-06-29,FA,,1.0,,79,197,Southern Utah,,PG
Mike Scott,1258,nba,,True,,36.0,1988-07-16,FA,,9.0,,79,237,Virginia,,PF
Scottie Lindsey,2659,nba,,True,,28.0,1996-05-20,FA,,1.0,,77,210,Northwestern,,SG
Danuel House,1680,nba,,True,,31.0,1993-06-07,FA,,7.0,,78,220,Texas A&M,,SF
Steve Nash,1213,nba,,False,,50.0,1974-02-07,RET,,18.0,,75,180,Santa Clara,,PG
D'Moi Hodge,2641,nba,,True,,25.0,1998-12-20,FA,,1.0,,75,188,Missouri,,SG
Jordan Adams,1531,nba,,True,,30.0,1994-07-08,FA,,2.0,,77,209,UCLA,,SG
Yoeli Childs,2231,nba,,True,,26.0,1998-01-13,FA,,1.0,,80,225,BYU,,SF
Eugene Omoruyi,2336,nba,,True,,27.0,1997-02-14,FA,,3.0,,78,235,Oregon,,SF
Mike Miller,1199,nba,,False,,44.0,1980-02-19,RET,,17.0,,80,218,Florida,,SF
Jamarion Sharp,2834,nba,,True,,23.0,2001-08-26,FA,,0.0,,89,225,Ole Miss,,C
Nerlens Noel,1097,nba,,True,,30.0,1994-04-10,FA,,8.0,,82,220,Kentucky,,C
Kyle Lowry,1322,nba,7.0,True,PG,38.0,1986-03-25,ACT,,18.0,2.0,72,196,Villanova,PHI,PG
Quinndary Weatherspoon,2067,nba,,True,,28.0,1996-09-10,FA,,3.0,,75,207,Mississippi State,,SG
Andrew Wiggins,1525,nba,22.0,True,SF,29.0,1995-02-23,ACT,,10.0,1.0,79,210,Kansas,GSW,SF
Gary Harris,1581,nba,14.0,True,SG,30.0,1994-09-14,ACT,,10.0,2.0,76,210,Michigan State,ORL,SG
Nic Claxton,2032,nba,33.0,True,C,25.0,1999-04-17,ACT,,5.0,1.0,83,215,Georgia,BKN,C
Brodric Thomas,2213,nba,,True,,27.0,1997-01-28,FA,,2.0,,77,185,Truman State,,SG
Aaron Gordon,1585,nba,32.0,True,SF,29.0,1995-09-16,ACT,,10.0,7.0,80,235,Arizona,DEN,PF
Kobe Bryant,1228,nba,,False,,46.0,1978-08-23,RET,,20.0,,78,212,,,SG
Taylor Hendricks,2582,nba,0.0,True,PF,21.0,2003-11-22,ACT,,1.0,7.0,81,215,UCF,UTA,PF
Devin Carter,2729,nba,22.0,True,PG,22.0,2002-03-18,ACT,,0.0,5.0,74,188,Providence,SAC,PG
Ivan Rabb,1796,nba,,True,,27.0,1997-02-04,FA,,2.0,,82,220,California,,PF
Danny Green,1296,nba,,False,,37.0,1987-06-22,RET,,14.0,,78,215,North Carolina,,SF
Jason Thompson,1458,nba,,True,,38.0,1986-07-21,FA,,8.0,,83,250,Rider,,C
Xavier Cooks,2556,nba,,True,,29.0,1995-08-19,FA,,1.0,,80,183,Winthrop,,PF
Trevor Hudgins,2423,nba,,True,,25.0,1999-03-23,FA,,1.0,,72,180,Northwest Missouri State,,PG
Jordan Bell,1770,nba,,True,,29.0,1995-01-07,FA,,4.0,,80,216,Oregon,,C
Wesley Johnson,1215,nba,,True,,37.0,1987-07-11,FA,,9.0,,79,215,Syracuse,,SF
Jordan Sibert,1940,nba,,True,,32.0,1992-08-01,FA,,1.0,,76,187,Dayton,,PG
Alec Burks,1354,nba,18.0,True,SG,33.0,1991-07-20,ACT,,13.0,3.0,77,214,Colorado,MIA,SG
Devon Dotson,2166,nba,,True,,25.0,1999-08-02,FA,,2.0,,73,185,Kansas,,PG
Sir'Dominic Pointer,2115,nba,,True,,32.0,1992-05-06,FA,,1.0,,78,192,St. John's (NY),,SG
Scottie Barnes,2289,nba,4.0,True,PG,23.0,2001-08-01,ACT,,3.0,1.0,79,237,Florida State,TOR,SF
Paul Zipser,1663,nba,,True,,30.0,1994-02-18,FA,,1.0,,80,226,,,SF
Ryan Anderson,1263,nba,,True,,36.0,1988-05-06,FA,,12.0,,81,240,California,,PF
Jerel McNeal,1573,nba,,True,,37.0,1987-06-01,FA,,1.0,,75,200,Marquette,,PG
Deyonta Davis,1694,nba,,True,,27.0,1996-12-02,FA,,3.0,,81,237,Michigan State,,PF
Miye Oni,2081,nba,,True,,27.0,1997-08-04,FA,,3.0,,77,206,Yale,,SG
Jeremy Pargo,2110,nba,,True,,38.0,1986-03-17,FA,,3.0,,74,219,Gonzaga,,PG
Arron Afflalo,1482,nba,,False,,39.0,1985-10-15,RET,,11.0,,77,210,UCLA,,SG
Armoni Brooks,2249,nba,,True,,26.0,1998-06-05,FA,,2.0,,75,195,Houston,,PG
Breein Tyree,2201,nba,,True,,26.0,1998-01-13,FA,,1.0,,74,195,Ole Miss,,PG
Ian Mahinmi,1061,nba,,False,,38.0,1986-11-05,RET,,12.0,,83,262,,,C
Damion Lee,1807,nba,10.0,True,SG,32.0,1992-10-21,ACT,,6.0,5.0,77,204,Louisville,PHX,SG
Rayshaun Hammonds,2176,nba,,True,,26.0,1998-11-10,FA,,1.0,,81,235,Georgia,,SF
Collin Sexton,1892,nba,2.0,True,SG,25.0,1999-01-04,ACT,,6.0,1.0,75,190,Alabama,UTA,SG
Jawun Evans,1838,nba,,True,,28.0,1996-07-26,FA,,1.0,,72,190,Oklahoma State,,PG
Malik Hall,2788,nba,,True,,24.0,2000-07-25,FA,,0.0,,80,225,Michagan State,,PF
Jake Toolson,2217,nba,,True,,28.0,1996-03-06,FA,,1.0,,77,205,BYU,,SG
Lamar Patterson,1626,nba,,True,,33.0,1991-08-12,FA,,2.0,,77,226,Pittsburgh,,SG
Jordan Hawkins,2576,nba,24.0,True,SG,22.0,2002-04-29,ACT,,1.0,2.0,77,190,UConn,NOP,PG
Taylor Funk,2870,nba,,True,,,,FA,,0.0,,81,220,,,PF
DeAndre Jordan,1328,nba,6.0,True,C,36.0,1988-07-21,ACT,,16.0,2.0,83,265,Texas A&M,DEN,C
Cory Joseph,1298,nba,10.0,True,PG,33.0,1991-08-20,ACT,,13.0,4.0,74,200,Texas,ORL,PG
James Nunnally,1103,nba,,True,,34.0,1990-07-14,FA,,3.0,,79,205,UC Santa Barbara,,SF
Troy Williams,1692,nba,,True,,29.0,1994-12-30,FA,,3.0,,79,218,Indiana,,SF
Eric Bledsoe,1420,nba,,True,,34.0,1989-12-09,FA,,12.0,,73,214,Kentucky,,PG
John Collins,1809,nba,20.0,True,PF,27.0,1997-09-23,ACT,,7.0,1.0,81,226,Wake Forest,UTA,PF
Trendon Watford,2325,nba,9.0,True,PF,24.0,2000-11-09,ACT,,3.0,3.0,80,237,LSU,BKN,PF
Chet Holmgren,2455,nba,7.0,True,PF,22.0,2002-05-01,ACT,,1.0,8.0,85,213,Gonzaga,OKC,PF
Tyler Ennis,1567,nba,,True,,30.0,1994-08-24,FA,,4.0,,75,194,Syracuse,,PG
Bennedict Mathurin,2435,nba,0.0,True,SF,22.0,2002-06-19,ACT,,2.0,1.0,78,195,Arizona,IND,PG
James Nnaji,2598,nba,,True,,20.0,2004-08-14,ACT,,1.0,,83,226,,,C
Boris Diaw,1297,nba,,False,,42.0,1982-04-16,RET,,14.0,,80,250,,,PF
Santiago Vescovi,2794,nba,,True,,23.0,2001-09-14,FA,,0.0,,75,196,Tennessee,,PG
John Holland,1629,nba,,True,,36.0,1988-11-06,FA,,3.0,,77,205,Boston University,,SG
Carlik Jones,2343,nba,,True,,26.0,1997-12-23,FA,,2.0,,72,174,Louisville,,PG
DaRon Holmes,2730,nba,14.0,True,C,22.0,2002-08-15,ACT,,0.0,7.0,81,236,Dayton,DEN,PF
Tarik Biberovic,2604,nba,,True,,23.0,2001-01-28,FA,,1.0,,79,218,,,PF
Kevon Harris,2227,nba,0.0,True,,27.0,1997-06-24,FA,,1.0,,77,216,Stephen F. Austin,,SG
Bobby Brown,1700,nba,,True,,40.0,1984-09-24,FA,,3.0,,74,175,Cal State-Fullerton,,PG
Jose Alvarado,2322,nba,15.0,True,PG,26.0,1998-04-12,ACT,,3.0,8.0,72,179,Georgia Tech,NOP,PG
Jamuni McNeace,2815,nba,,True,,28.0,1996-03-25,FA,,0.0,,82,232,Oklahoma,,C
Jarell Martin,1615,nba,,True,,30.0,1994-05-24,FA,,4.0,,82,239,LSU,,PF
Andrea Bargnani,1028,nba,,False,,39.0,1985-10-26,RET,,10.0,,84,245,,,C
Cameron Bairstow,1494,nba,,True,,33.0,1990-12-07,FA,,2.0,,81,250,New Mexico,,PF
Chandler Vaudrin,2515,nba,,True,,27.0,1997-06-26,FA,,1.0,,79,210,Winthrop,,PG
Wenyen Gabriel,1985,nba,,True,,27.0,1997-03-26,FA,,4.0,,81,205,Kentucky,,PF
P.J. Tucker,1421,nba,17.0,True,PF,39.0,1985-05-05,NWT,,13.0,7.0,77,245,Texas,LAC,PF
Lucas Nogueira,1549,nba,,False,,32.0,1992-07-26,RET,,4.0,,84,220,,,C
DJ Horne,2806,nba,,True,,24.0,2000-10-31,FA,,0.0,,74,180,NC State,,PG
Kyle Mangas,2688,nba,,True,,25.0,1999-04-08,FA,,1.0,,76,200,Indiana Wesleyan,,PG
Jeff Teague,1253,nba,,True,,36.0,1988-06-10,FA,,12.0,,75,195,Wake Forest,,PG
Nicolas Batum,1449,nba,33.0,True,PF,35.0,1988-12-14,ACT,,16.0,2.0,80,230,,LAC,SF
Isaiah Whaley,2517,nba,,True,,26.0,1998-03-26,FA,,1.0,,81,225,UConn,,PF
Caleb Homesley,2232,nba,,True,,28.0,1996-11-27,FA,,1.0,,78,205,Liberty,,SG
Josh Reaves,2089,nba,,True,,27.0,1997-06-04,FA,,1.0,,76,214,Penn State,,SG
Chauncey Billups,1130,nba,,False,,48.0,1976-09-25,RET,,17.0,,75,210,Colorado,,PG
Chuck Hayes,1313,nba,,False,,41.0,1983-06-11,RET,,11.0,,78,240,Kentucky,,C
Pete Nance,2657,nba,,True,,24.0,2000-02-19,FA,,1.0,,82,225,North Carolina,,PF
Leonard Miller,2621,nba,33.0,True,PF,21.0,2003-11-26,ACT,,0.0,4.0,82,220,,MIN,SF
Brendan Haywood,1152,nba,,False,,45.0,1979-11-27,RET,,13.0,,84,263,North Carolina,,C
Bonzie Colson,1965,nba,,True,,28.0,1996-01-12,FA,,1.0,,78,225,Notre Dame,,SF
Jaylen Clark,2602,nba,22.0,True,SG,23.0,2001-10-13,TWO-WAY,,1.0,9.0,76,205,UCLA,MIN,PG
Kevin Porter,2009,nba,77.0,True,PG,24.0,2000-05-04,ACT,,4.0,2.0,76,203,USC,LAC,SG
Mac McClung,2334,nba,8.0,True,PG,25.0,1999-01-06,TWO-WAY,,2.0,6.0,74,185,Texas Tech,ORL,PG
Jarred Vanderbilt,1987,nba,2.0,True,C,25.0,1999-04-03,ACT,,6.0,5.0,81,230,Kentucky,LAL,PF
Jaime Echenique,2345,nba,,True,,27.0,1997-04-27,FA,,1.0,,83,258,Wichita State,,C
Samuel Dalembert,1402,nba,,False,,43.0,1981-05-10,RET,,13.0,,83,255,Seton Hall,,C
Isaiah Collier,2724,nba,13.0,True,PG,20.0,2004-10-08,ACT,,0.0,2.0,75,210,USC,UTA,PG
AJ Green,2417,nba,20.0,True,SG,25.0,1999-09-27,ACT,,2.0,2.0,76,190,Northern Iowa,MIL,SG
Justin Patton,1788,nba,,True,,27.0,1997-06-14,FA,,3.0,,83,241,Creighton,,C
Max Heidegger,2669,nba,,True,,27.0,1997-06-05,FA,,1.0,,75,180,UC Santa Barbara,,PG
N Nene,1126,nba,,True,,42.0,1982-09-13,FA,,17.0,,83,250,,,C
Immanuel Quickley,2157,nba,5.0,True,PG,25.0,1999-06-17,ACT,,4.0,6.0,74,190,Kentucky,TOR,PG
Kaiser Gates,2246,nba,,True,,28.0,1996-11-08,FA,,1.0,,80,223,Xavier,,SF
Tony Wroten,1095,nba,,True,,31.0,1993-04-13,FA,,4.0,,78,205,Washington,,SG
Theo John,2425,nba,,True,,26.0,1998-08-25,FA,,1.0,,81,242,Duke,,PF
Jalen Duren,2438,nba,0.0,True,C,21.0,2003-11-18,ACT,,2.0,1.0,82,250,Memphis,DET,C
Luis Montero,1653,nba,,True,,31.0,1993-04-06,FA,,2.0,,79,200,,,SG
Rajon Rondo,1283,nba,,False,,38.0,1986-02-22,RET,,16.0,,73,180,Kentucky,,PG
Nikola Durisic,2757,nba,,True,,20.0,2004-02-23,NWT,,0.0,,79,209,,,PF
Malcolm Lee,1513,nba,,True,,34.0,1990-05-22,FA,,3.0,,77,200,UCLA,,SG
Pierre Jackson,1731,nba,,True,,33.0,1991-08-29,FA,,1.0,,70,180,Baylor,,PG
Leandro Bolmaro,2180,nba,,True,,24.0,2000-09-11,FA,,1.0,,78,200,,,SG
J.J. Hickson,1473,nba,,True,,36.0,1988-09-04,FA,,8.0,,81,242,North Carolina State,,C
Sindarius Thornwell,1834,nba,,True,,30.0,1994-11-15,FA,,3.0,,76,215,South Carolina,,SG
Andrew Bogut,1077,nba,,False,,40.0,1984-11-28,RET,,14.0,,84,260,Utah,,C
Didi Louzada,2251,nba,,True,,25.0,1999-07-02,FA,,1.0,,77,188,,,SG
Dante Cunningham,1185,nba,,True,,37.0,1987-04-22,FA,,10.0,,80,230,Villanova,,SF
Thanasis Antetokounmpo,1591,nba,,True,,32.0,1992-07-18,FA,,6.0,,79,219,,,SF
